,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
349,201905,생활/사무용품,평일,금,B.06-10시,F,A.2O대,918
350,202005,화장품,휴일,일,B.06-10시,F,A.2O대,656
351,201905,서적,휴일,일,A.02-06시,F,B.3O대,137
352,202105,패션,휴일,일,C.10-14시,M,D.5O대,2784
353,201905,홈쇼핑,평일,목,D.14-18시,M,E.60대이상,1035
354,202105,가전,평일,금,A.02-06시,M,E.60대이상,30
355,201905,차량정비_부품,평일,화,D.14-18시,F,A.2O대,96
356,202005,스포츠의류용품,휴일,금,F.22-02시,M,B.3O대,147
357,201905,서적,휴일,토,A.02-06시,M,C.4O대,80
358,202105,홈쇼핑,휴일,수,F.22-02시,F,A.2O대,377
359,202005,유아용품,평일,목,B.06-10시,M,C.4O대,293
360,202005,패션,평일,화,D.14-18시,M,A.2O대,1563
361,202005,인테리어,평일,금,B.06-10시,F,E.60대이상,92
362,201905,골프용품,평일,금,E.18-22시,F,C.4O대,85
363,202005,패션,평일,화,F.22-02시,F,B.3O대,9675
364,201905,유아용품,평일,수,A.02-06시,M,E.60대이상,7
365,201905,식료품,휴일,토,F.22-02시,M,A.2O대,350
366,202005,홈쇼핑,평일,수,E.18-22시,M,E.60대이상,1458
367,202105,골프용품,평일,수,A.02-06시,F,D.5O대,7
368,202105,서적,휴일,수,E.18-22시,M,D.5O대,253
369,202105,스포츠의류용품,평일,수,F.22-02시,F,B.3O대,477
370,201905,유아용품,휴일,수,F.22-02시,M,D.5O대,22
371,202005,생활/사무용품,평일,목,C.10-14시,F,E.60대이상,2378
372,202005,유아용품,평일,목,D.14-18시,F,A.2O대,419
373,201905,유아용품,휴일,토,B.06-10시,M,E.60대이상,13
374,201905,인테리어,휴일,월,A.02-06시,F,D.5O대,11
375,202105,패션,휴일,일,D.14-18시,F,A.2O대,7247
376,201905,홈쇼핑,평일,화,A.02-06시,F,A.2O대,92
377,202105,스포츠의류용품,평일,수,E.18-22시,M,E.60대이상,35
378,202005,인테리어,평일,수,A.02-06시,F,E.60대이상,38
379,202005,스포츠의류용품,평일,목,E.18-22시,M,C.4O대,516
380,202105,패션,휴일,일,F.22-02시,M,B.3O대,6642
381,202105,애완용품,휴일,수,F.22-02시,F,A.2O대,251
382,201905,애완용품,휴일,월,E.18-22시,M,A.2O대,20
383,202105,홈쇼핑,휴일,일,A.02-06시,F,E.60대이상,1360
384,201905,취미용품,평일,금,D.14-18시,F,B.3O대,432
