Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,50900.000000,51400.000000,50700.000000,51200.000000,47761.574219,8470627
2019-12-10,51000.000000,51600.000000,50700.000000,51500.000000,48041.425781,6882771
2019-12-11,51500.000000,52200.000000,51400.000000,51900.000000,48414.562500,11379521
2019-12-12,53000.000000,53300.000000,52700.000000,53300.000000,49720.542969,29178697
2019-12-13,54500.000000,54800.000000,53900.000000,54700.000000,51026.527344,18120261
2019-12-16,54500.000000,54900.000000,54300.000000,54700.000000,51026.527344,11512405
2019-12-17,55800.000000,56700.000000,55400.000000,56700.000000,52892.214844,19358433
2019-12-18,56700.000000,57200.000000,56000.000000,56300.000000,52519.074219,15558208
2019-12-19,57000.000000,57300.000000,55500.000000,56000.000000,52239.222656,14180520
2019-12-20,56100.000000,56500.000000,55600.000000,56000.000000,52239.222656,12095519
2019-12-23,56100.000000,56400.000000,55100.000000,55500.000000,51772.796875,9839252
2019-12-24,55600.000000,55700.000000,54800.000000,55000.000000,51306.378906,11868463
2019-12-26,54700.000000,55400.000000,54400.000000,55400.000000,51679.515625,9645034
2019-12-27,55700.000000,56900.000000,55500.000000,56500.000000,53044.589844,12313056
2019-12-30,56200.000000,56600.000000,55700.000000,55800.000000,52387.406250,8356767
2020-01-02,55500.000000,56000.000000,55000.000000,55200.000000,51824.097656,12993228
2020-01-03,56000.000000,56600.000000,54900.000000,55500.000000,52105.750000,15422255
2020-01-06,54900.000000,55600.000000,54600.000000,55500.000000,52105.750000,10278951
2020-01-07,55700.000000,56400.000000,55600.000000,55800.000000,52387.406250,10009778
2020-01-08,56200.000000,57400.000000,55900.000000,56800.000000,53326.246094,23501171
2020-01-09,58400.000000,58600.000000,57400.000000,58600.000000,55016.160156,24102579
2020-01-10,58800.000000,59700.000000,58300.000000,59500.000000,55861.121094,16000170
2020-01-13,59600.000000,60000.000000,59100.000000,60000.000000,56330.542969,11359139
2020-01-14,60400.000000,61000.000000,59900.000000,60000.000000,56330.542969,16906295
2020-01-15,59500.000000,59600.000000,58900.000000,59000.000000,55391.691406,14300928
2020-01-16,59100.000000,60700.000000,59000.000000,60700.000000,56987.734375,14381774
2020-01-17,61900.000000,62000.000000,61000.000000,61300.000000,57551.035156,16025661
2020-01-20,62000.000000,62800.000000,61700.000000,62400.000000,58583.765625,12528855
2020-01-21,62000.000000,62400.000000,61200.000000,61400.000000,57644.917969,11142693
2020-01-22,60500.000000,62600.000000,60400.000000,62300.000000,58489.878906,15339565
2020-01-23,61800.000000,61800.000000,60700.000000,60800.000000,57081.613281,14916555
2020-01-28,59400.000000,59400.000000,58300.000000,58800.000000,55203.929688,23664541
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,55485.578125,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,53701.781250,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,52950.707031,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,53701.781250,23995260
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,55297.812500,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,55861.121094,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,57363.269531,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,56706.078125,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,56048.882813,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,56236.660156,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,56799.964844,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,56987.734375,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,58020.457031,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,57738.808594,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,56142.769531,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,56518.304688,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,56330.542969,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,55579.472656,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,53326.246094,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,54358.964844,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,53044.589844,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,52481.285156,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,50885.257813,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,51636.328125,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,52011.867188,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,53889.550781,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,54265.085938,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,53044.589844,18716656
