CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,,,
202005,1,휴일,화,F.22-02시,F,A.2O대, 3 ,,,
201905,1,평일,금,C.10-14시,F,E.60대이상, 103 ,,,
201905,1,평일,금,B.06-10시,F,A.2O대, 918 ,,,
202005,2,휴일,일,B.06-10시,F,A.2O대, 656 ,,,
201905,1,휴일,일,A.02-06시,F,B.3O대, 137 ,,,
202105,2,휴일,일,C.10-14시,M,D.5O대," 2,784 ",,,
202105,1,평일,금,A.02-06시,M,E.60대이상, 30 ,,,
201905,1,평일,화,D.14-18시,F,A.2O대, 96 ,,,
202005,2,휴일,금,F.22-02시,M,B.3O대, 147 ,,,
201905,1,휴일,토,A.02-06시,M,C.4O대, 80 ,,,
202005,1,평일,목,B.06-10시,M,C.4O대, 293 ,,,
202005,2,평일,화,D.14-18시,M,A.2O대," 1,563 ",,,
202005,1,평일,금,B.06-10시,F,E.60대이상, 92 ,,,
201905,1,평일,금,E.18-22시,F,C.4O대, 85 ,,,
202005,2,평일,화,F.22-02시,F,B.3O대," 9,675 ",,,
201905,1,평일,수,A.02-06시,M,E.60대이상, 7 ,,,
201905,4,휴일,토,F.22-02시,M,A.2O대, 350 ,,,
202105,1,평일,수,A.02-06시,F,D.5O대, 7 ,,,
202105,1,휴일,수,E.18-22시,M,D.5O대, 253 ,,,
202105,2,평일,수,F.22-02시,F,B.3O대, 477 ,,,
201905,1,휴일,수,F.22-02시,M,D.5O대, 22 ,,,
202005,1,평일,목,C.10-14시,F,E.60대이상," 2,378 ",,,
202005,1,평일,목,D.14-18시,F,A.2O대, 419 ,,,
201905,1,휴일,토,B.06-10시,M,E.60대이상, 13 ,,,
201905,1,휴일,월,A.02-06시,F,D.5O대, 11 ,,,
202105,2,휴일,일,D.14-18시,F,A.2O대," 7,247 ",,,
202105,2,평일,수,E.18-22시,M,E.60대이상, 35 ,,,
202005,1,평일,수,A.02-06시,F,E.60대이상, 38 ,,,
202005,2,평일,목,E.18-22시,M,C.4O대, 516 ,,,
202105,2,휴일,일,F.22-02시,M,B.3O대," 6,642 ",,,
202105,3,휴일,수,F.22-02시,F,A.2O대, 251 ,,,
201905,3,휴일,월,E.18-22시,M,A.2O대, 20 ,,,
201905,1,평일,금,D.14-18시,F,B.3O대, 432 ,,,
202105,2,평일,금,A.02-06시,F,A.2O대," 1,168 ",,,
202105,1,평일,화,D.14-18시,M,B.3O대, 120 ,,,
202005,1,휴일,일,B.06-10시,F,B.3O대, 144 ,,,
202005,2,휴일,금,B.06-10시,M,E.60대이상, 44 ,,,
201905,4,휴일,월,F.22-02시,F,E.60대이상, 76 ,,,
201905,3,평일,화,D.14-18시,F,A.2O대, 342 ,,,
201905,2,평일,월,B.06-10시,F,D.5O대, 47 ,,,
201905,1,휴일,토,F.22-02시,M,D.5O대, 63 ,,,
202005,1,평일,수,A.02-06시,F,D.5O대, 134 ,,,
202105,1,휴일,일,B.06-10시,M,C.4O대, 329 ,,,
202105,1,평일,수,D.14-18시,F,B.3O대," 1,561 ",,,
201905,1,평일,수,A.02-06시,F,A.2O대, 139 ,,,
201905,1,평일,화,D.14-18시,M,D.5O대, 712 ,,,
201905,1,휴일,월,A.02-06시,F,A.2O대, 21 ,,,
201905,1,평일,월,C.10-14시,M,E.60대이상, 409 ,,,
202105,3,휴일,수,A.02-06시,F,B.3O대, 52 ,,,
202105,3,평일,금,F.22-02시,F,C.4O대, 501 ,,,
