,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
376,202105,2,0,0,5,0,2,501,,,
377,202105,0,1,4,0,1,2,83,,,
378,202005,0,1,6,2,1,2,1114,,,
379,202105,3,1,4,5,0,1,9755,,,
380,202105,2,1,5,1,0,4,54,,,
381,202105,1,1,5,3,1,0,2532,,,
382,202105,0,1,2,3,1,2,875,,,
383,201905,0,0,1,5,0,4,48,,,
384,202105,2,0,6,0,0,4,10,,,
385,202105,0,1,2,5,0,2,254,,,
386,202105,0,0,1,4,0,1,1958,,,
387,202005,0,0,3,3,0,1,304,,,
388,201905,0,1,2,3,1,3,127,,,
389,202005,0,0,3,2,0,2,117,,,
390,201905,0,0,1,5,0,4,66,,,
391,202105,0,0,0,5,0,4,60,,,
392,201905,0,1,2,2,1,3,150,,,
393,201905,0,0,3,1,1,2,60,,,
394,202005,3,0,6,1,0,2,3289,,,
395,202105,1,1,2,0,0,2,648,,,
396,202105,2,0,0,1,1,0,53,,,
397,201905,0,1,4,0,1,3,12,,,
398,202005,1,1,4,2,1,3,1989,,,
399,202105,1,0,1,5,1,0,471,,,
400,202105,0,0,3,4,1,2,953,,,
401,202105,0,0,0,2,0,2,249,,,
402,202105,0,1,2,5,1,1,321,,,
403,201905,0,1,2,3,1,1,290,,,
404,202105,1,1,2,3,0,3,2399,,,
405,201905,0,0,2,1,1,2,605,,,
406,202005,0,0,2,4,0,0,343,,,
407,202105,0,0,3,4,0,3,376,,,
408,202005,1,0,0,3,0,3,233,,,
409,202105,0,0,6,3,0,0,1106,,,
410,201905,0,1,2,2,1,3,385,,,
411,202105,0,0,0,0,1,1,292,,,
412,202105,0,0,3,3,1,1,1334,,,
413,202005,0,1,4,5,1,1,1130,,,
414,202005,0,0,3,1,0,4,7,,,
415,202105,0,1,2,3,0,3,264,,,
416,202005,1,0,3,1,1,0,256,,,
417,202005,0,0,2,5,1,0,591,,,
418,202005,1,0,2,5,0,3,220,,,
419,202105,0,0,2,3,1,0,143,,,
420,202105,0,1,5,4,0,2,939,,,
421,202105,1,1,5,2,1,0,623,,,
422,201905,3,1,2,1,1,1,297,,,
423,202005,0,0,0,3,1,2,834,,,
424,202005,0,0,0,0,1,2,30,,,
425,202105,0,1,5,4,0,2,265,,,
426,202105,3,1,4,4,1,4,1390,,,
427,202005,1,1,6,5,1,1,1483,,,
428,202005,0,0,1,1,0,1,4741,,,
429,202005,1,0,3,2,0,4,810,,,
430,202005,1,1,4,0,0,4,107,,,
431,202105,0,0,0,2,1,1,747,,,
432,202005,2,0,1,4,1,1,289,,,
433,201905,1,1,5,3,1,4,421,,,
434,202005,0,0,1,1,0,0,1288,,,
435,202005,0,0,1,1,1,2,174,,,
436,202105,1,1,2,4,0,3,695,,,
437,201905,0,0,0,5,1,2,491,,,
438,202005,3,1,5,3,0,1,5145,,,
439,202005,0,0,1,1,1,1,437,,,
440,201905,1,0,2,5,0,0,314,,,
441,201905,1,1,3,3,1,0,532,,,
442,202105,0,0,0,1,1,4,225,,,
443,202105,0,0,6,5,0,4,89,,,
444,202105,3,0,3,4,0,4,2332,,,
445,202105,1,0,6,0,1,0,116,,,
446,202105,3,0,3,0,1,3,316,,,
447,202105,1,0,6,2,1,1,6154,,,
448,202105,0,0,0,4,1,4,30,,,
449,202005,0,1,4,0,0,2,333,,,
450,202005,1,0,6,2,0,0,1942,,,
451,201905,1,1,2,0,0,3,24,,,
452,201905,0,0,3,0,1,4,15,,,
453,202105,1,0,1,3,1,2,1218,,,
454,202105,0,1,5,0,1,1,194,,,
455,201905,0,0,1,0,0,0,100,,,
456,201905,1,0,1,2,0,2,559,,,
457,202005,0,0,6,1,0,3,1575,,,
458,201905,0,1,5,2,0,2,85,,,
